TestCase,Test Scenario,Test Cases,Test Steps,Test Data,Expected Result,Actual Result,Pass/Fail,Severity,Priority,Screenshot Link
NC1,Verify Account Number ,Account number cannot be empty,"1) Do not enter a value in ""Account Number"" field",,"An error message ""Account number must not be blank"" must shown","An error message ""Account number must not be blank"" shown",Pass,,,
,,,2) Press TAB and move to next field,,,,,,,
,,,,,,,,,,
NC2,Verify Account Number ,Account number can't contains characters,"1) Enter any account number contains characters in ""Account number"" field","A, B, C, É","An error message ""Characters are not allowed"" must shown","An error message ""Characters are not allowed"" shown",Pass,,,
,,,2) Press TAB and move to the next field,"a, b, c, É",,,,,,
,,,,,,,,,,
NC3,Verify Account Number ,Account number not have special character ,"1) Enter any account number contains a special characters in ""Account Number"" field","!, @, #, $, %, ^, &, *","An error message ""Special characters are not allowed"" must shown","An error message ""Special characters are not allowed"" shown",Pass,,,
,,,2) Press TAB and move to the next field,,,,,,,
,,,,,,,,,,
NC4,Verify Account Number ,Account number first character can't have space,"1) Enter space in the first character of the ""Account number"" field",,"An error message ""Space are not allowed"" must shown","An error message ""Characters are not allowed"" shown",Fail,Major,Medium,https://ibb.co/SySwR5y
,,,2) Press TAB and move to the next field,,,,,,,
,,,,,,,,,,
NC5,Verify Account Number ,Account No accepts only numbers,"1) Enter valid account number in the ""Account No"" field",,Manger/ Customer moved to the next field successfully without error message,Manger/ Customer moved to the next field successfully without error message,Pass,,,
,,,2) Press TAB and move to the next field,,,,,,,
,,,,,,,,,,
NC6,Verify Amount Lower Limit,Amount lower limit can't contains special characters,"1) Enter any special characters the ""Amount Lower Limit"" field","!, @, #, $,","An error message ""Special characters are not allowed"" must shown",No error message shown,Fail,Major,Medium,https://ibb.co/4NMhLkC
,,,2) Press TAB and move to the next field,"%, ^, &, *",,,,,,
,,,,,,,,,,
NC7,Verify Amount Lower Limit,Amount lower limit can't be empty,"1) Do not enter a value in ""Amount Lower Limit"" field",,"An error message ""Amount lower limit must not be blank"" must shown",No error message shown,Fail,Major,Medium,https://ibb.co/5GZbQBR
,,,2) Press TAB and move to next field,,,,,,,
,,,,,,,,,,
NC8,Verify Amount Lower Limit,Amount lower limit can't contains characters,"1) Enter any characters the ""Amount Lower Limit"" field","A, B, C, ...
 a, b, c, É","An error message ""Characters are not allowed"" must shown",No error message shown,Fail,Major,Medium,https://ibb.co/L9DNjgL
,,,2) Press TAB and move to the next field,,,,,,,
,,,,,,,,,,
NC9,Verify Amount Lower Limit,Amount Lower Limit accepts only numbers,"1) Enter valid number in the ""Amount Lower Limit"" Field",,Manger/ Customer moved to the next field successfully without error message,Manger/ Customer moved to the next field successfully without error message,Pass,,,
,,,2) Press TAB and move to the next Field,,,,,,,
,,,,,,,,,,
NC10,Verify Number of Transaction,Number of transaction can't contains special characters,"1) Enter any special characters the ""Number of Transaction"" field","!, @, #, $,","An error message ""Number of transaction can't contain special characters"" must shown",No error message shown,Fail,Major,Medium,https://ibb.co/mHPtt0r
